epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,162.89,0.57301,0.36476,0.9853,0.99256,0.99353,0.99358,0.86324,0.52916,0.2385,0.95988,0.00998333,0.00332778,0.00998333,0.00332778,0.00998333,0.00332778,0.00998333,0.00332778
2,336.6,0.57655,0.3643,0.98322,0.99176,0.99247,0.99374,0.86076,0.53632,0.24532,0.96558,0.0199174,0.00663913,0.0199174,0.00663913,0.0199174,0.00663913,0.0199174,0.00663913
3,574.13,0.58948,0.37994,0.99344,0.98216,0.98687,0.99196,0.85742,0.5397,0.27046,0.9693,0.0297854,0.00992848,0.0297854,0.00992848,0.0297854,0.00992848,0.0297854,0.00992848
4,842.826,0.6017,0.40406,0.99784,0.98796,0.9877,0.99255,0.85786,0.53874,0.26812,0.96511,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1126.51,0.60689,0.40493,0.99684,0.98908,0.99232,0.99312,0.85505,0.54614,0.26456,0.97376,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1418.33,0.61003,0.40753,1.00187,0.98711,0.99087,0.99319,0.85629,0.54408,0.2685,0.9769,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1694.9,0.61063,0.41008,1.00005,0.9875,0.98864,0.9929,0.86,0.53474,0.26553,0.96753,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,2001.34,0.60537,0.40553,0.99862,0.98718,0.98841,0.99259,0.85576,0.54306,0.27104,0.97596,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2336.55,0.60928,0.41088,0.99884,0.9892,0.992,0.99334,0.85786,0.54279,0.26249,0.96948,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2605.24,0.60552,0.40558,0.99737,0.98714,0.99005,0.99303,0.86029,0.5353,0.26265,0.96678,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2891.41,0.60347,0.40516,0.9975,0.98723,0.98909,0.99308,0.86002,0.53789,0.26716,0.96965,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,3122.05,0.60371,0.40544,0.99553,0.98602,0.98948,0.99238,0.857,0.54085,0.26567,0.97248,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,3364.51,0.6063,0.40689,0.9986,0.98884,0.99191,0.99317,0.85815,0.53857,0.26023,0.96842,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,3617.16,0.60427,0.40343,0.99765,0.98651,0.99085,0.99314,0.85875,0.53452,0.2614,0.96829,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3925.17,0.60467,0.40487,0.99843,0.98881,0.99124,0.99297,0.85842,0.53902,0.25958,0.96589,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,4169.54,0.60417,0.40149,0.99844,0.98771,0.99022,0.99273,0.85963,0.53352,0.25971,0.96971,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,4395.35,0.60394,0.40257,1.00006,0.98927,0.99198,0.99296,0.85964,0.53605,0.25904,0.96694,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,4624.86,0.59983,0.40297,0.99331,0.98964,0.99005,0.99298,0.85952,0.5344,0.25971,0.96701,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,4832.89,0.603,0.39975,0.99712,0.9893,0.9912,0.99312,0.85749,0.54185,0.25864,0.96658,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,5056.94,0.59763,0.39935,0.99515,0.99019,0.9919,0.99339,0.85958,0.53651,0.25402,0.96804,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
