epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,125.045,0.87312,4.821,1.1093,0.04167,0.49334,0.06965,0.05815,0.66489,3.67616,1.04772,0.00998333,0.00332778,0.00998333,0.00332778,0.00998333,0.00332778,0.00998333,0.00332778
2,218.128,0.91408,2.94579,1.17764,0.53243,0.59462,0.60491,0.49302,0.70229,1.68562,1.1065,0.0199174,0.00663913,0.0199174,0.00663913,0.0199174,0.00663913,0.0199174,0.00663913
3,299.095,0.87801,1.75001,1.15809,0.77349,0.79014,0.86737,0.70844,0.6744,0.97173,1.06928,0.0297854,0.00992848,0.0297854,0.00992848,0.0297854,0.00992848,0.0297854,0.00992848
4,377.889,0.85533,1.33953,1.13507,0.85932,0.86809,0.93347,0.77156,0.62171,0.75348,1.02918,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,456.272,0.81957,1.12926,1.11008,0.86281,0.89832,0.94928,0.79166,0.60879,0.69987,1.02799,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,534.358,0.79204,1.0192,1.09773,0.9017,0.91647,0.95954,0.80681,0.59402,0.6173,1.01257,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,612.1,0.77508,0.94232,1.08724,0.925,0.92474,0.97229,0.81737,0.59553,0.55484,1.01216,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,694.539,0.75676,0.87841,1.08031,0.92423,0.91018,0.97153,0.81611,0.58928,0.57187,1.01086,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,776.745,0.75446,0.84156,1.07735,0.94055,0.95177,0.9815,0.83165,0.5757,0.48467,1.00477,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,862.281,0.73883,0.80502,1.07132,0.93425,0.93982,0.97832,0.8314,0.57232,0.49733,1.0028,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,948.155,0.72769,0.76898,1.0655,0.9469,0.9542,0.98453,0.8351,0.56934,0.46315,1.00244,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1033.31,0.72211,0.7424,1.05881,0.96429,0.97551,0.98806,0.84168,0.55651,0.40574,0.99228,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1117.39,0.7221,0.72282,1.06381,0.94256,0.9468,0.981,0.82884,0.57987,0.46839,1.00726,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1201.7,0.71253,0.6985,1.05775,0.94294,0.94766,0.98239,0.83312,0.56369,0.45496,0.99924,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1287.74,0.70699,0.68682,1.05319,0.96301,0.96001,0.98607,0.84033,0.56012,0.4095,0.9951,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1375.76,0.70121,0.66502,1.05122,0.96727,0.96869,0.98859,0.84675,0.54835,0.38685,0.98784,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
