epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,137.398,0.8779,3.27571,1.16506,0.7028,0.70529,0.77634,0.65047,0.59204,1.18188,1.01243,0.00998333,0.00332778,0.00998333,0.00332778,0.00998333,0.00332778,0.00998333,0.00332778
2,250.717,0.75265,1.18241,1.06829,0.81081,0.83169,0.90715,0.75878,0.59203,0.7853,0.99708,0.0199174,0.00663913,0.0199174,0.00663913,0.0199174,0.00663913,0.0199174,0.00663913
3,356.897,0.76986,0.95555,1.07473,0.90117,0.89415,0.96189,0.80485,0.5967,0.622,0.99764,0.0297854,0.00992848,0.0297854,0.00992848,0.0297854,0.00992848,0.0297854,0.00992848
4,460.259,0.77143,0.87617,1.07716,0.8913,0.9111,0.96269,0.8008,0.60196,0.57895,1.00622,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,562.574,0.75421,0.76525,1.06744,0.94714,0.93855,0.98083,0.82978,0.5745,0.46023,0.99383,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,665.074,0.73554,0.70116,1.06188,0.94025,0.95059,0.9804,0.82941,0.57192,0.445,0.99117,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,766.998,0.71817,0.65021,1.05374,0.94253,0.93978,0.98214,0.83394,0.56562,0.43539,0.99018,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,869.037,0.70498,0.60999,1.04871,0.94497,0.95254,0.98175,0.83088,0.56383,0.42243,0.99308,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,976.421,0.7016,0.59207,1.04663,0.91496,0.92478,0.96943,0.8095,0.58957,0.47335,1.01205,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1086.54,0.68707,0.56125,1.04041,0.96382,0.96416,0.9867,0.84297,0.5469,0.37053,0.97867,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1194.16,0.67838,0.54485,1.03658,0.97303,0.97673,0.98907,0.84993,0.53672,0.33415,0.97467,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1308.45,0.672,0.52978,1.03095,0.96503,0.97233,0.98893,0.84674,0.54206,0.34425,0.97899,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1416.14,0.67245,0.51702,1.03643,0.97678,0.98255,0.99133,0.85401,0.53387,0.31365,0.97261,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1530.84,0.66349,0.50101,1.03048,0.96723,0.97151,0.98822,0.85021,0.53535,0.33553,0.97487,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1638.25,0.65973,0.49656,1.02897,0.97312,0.97928,0.99034,0.85463,0.5301,0.31621,0.97132,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1749.88,0.65628,0.48427,1.0271,0.96928,0.97312,0.99031,0.8516,0.53743,0.32139,0.98026,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1858.53,0.65203,0.47429,1.02795,0.98152,0.98184,0.99122,0.85561,0.53445,0.29856,0.98012,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1972.49,0.64273,0.46765,1.01959,0.97548,0.98177,0.99094,0.85191,0.53483,0.30188,0.97913,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2079.54,0.64246,0.45479,1.02211,0.98253,0.98596,0.99211,0.85897,0.52573,0.28369,0.97169,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2192.19,0.63501,0.45145,1.01804,0.98071,0.98733,0.9921,0.85976,0.52171,0.28175,0.97266,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2302.62,0.63593,0.44582,1.02102,0.97465,0.98281,0.99076,0.85486,0.52771,0.30069,0.97532,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
